sample_id,region,latitude,longitude,month,sea_surface_temperature_c,temperature_anomaly_c,wind_speed_kmh,wave_height_m,humidity_percent,pressure_hpa,cloud_coverage_percent,chlorophyll_index,current_speed_ms,ocean_risk_level
OM-0048,Atlântico Norte,11.8069,-12.3935,2,29.38,0.4,20.09,2.03,77.82,1011.34,82.35,0.856,0.379,moderado
OM-0049,Costa Nordeste,-6.5427,-40.7592,8,31.19,0.88,28.07,1.82,78.21,1000.39,72.06,1.095,0.657,alto
OM-0050,Costa Nordeste,-9.1431,-42.5112,5,30.19,-0.34,10.53,2.21,72.62,1019.72,50.7,1.294,0.248,baixo
OM-0051,Índico Oeste,-2.964,64.1485,1,33.58,1.85,5.69,1.54,90.94,1007.41,65.27,1.136,0.538,critico
OM-0052,Pacífico Sul,-26.7331,-144.9659,10,21.77,1.25,15.68,2.59,73.97,1010.97,73.13,1.299,0.211,moderado
OM-0053,Índico Oeste,-0.593,62.0039,8,31.18,3.04,43.46,2.72,96.18,999.53,64.46,1.197,0.239,critico
OM-0054,Índico Oeste,-6.2377,70.3996,4,32.13,1.07,33.66,2.38,89.87,1007.09,73.33,0.33,0.554,alto
OM-0055,Índico Oeste,-22.2037,79.6903,2,28.02,0.71,8.24,2.12,68.02,1008.95,89.32,0.02,0.569,moderado
OM-0056,Índico Oeste,-19.2817,63.9751,12,29.14,-0.64,22.67,1.49,86.9,1005.57,63.18,0.505,0.424,baixo
OM-0057,Pacífico Sul,-25.3108,-156.6264,9,22.89,0.68,7.38,3.21,95.19,991.05,63.52,1.274,0.77,moderado
OM-0058,Pacífico Equatorial,2.4471,-107.6863,7,29.66,1.47,38.03,3.06,87.49,1005.8,26.54,0.543,0.792,alto
OM-0059,Atlântico Norte,37.3133,-69.0791,3,24.56,2.96,39.8,3.46,70.9,987.91,93.15,0.527,0.778,critico
OM-0060,Pacífico Equatorial,1.268,-96.7537,8,30.63,2.31,59.28,2.82,75.78,988.89,91.01,1.406,0.779,critico
OM-0061,Pacífico Sul,-31.016,-167.3947,6,25.89,-0.12,29.15,3.19,59.76,1001.44,57.79,0.942,0.849,baixo
OM-0062,Costa Nordeste,-4.028,-36.2526,4,31.31,0.77,42.34,3.18,88.24,996.24,74.28,1.254,0.421,critico
OM-0063,Pacífico Sul,-11.1391,-107.8718,8,27.85,0.1,15.0,2.21,64.23,1004.4,73.44,0.797,0.923,baixo
OM-0064,Pacífico Equatorial,-4.919,-98.096,12,33.0,0.27,33.56,1.42,77.16,999.99,62.63,0.566,0.591,alto
OM-0065,Pacífico Sul,-16.9759,-108.723,3,27.24,-0.8,15.69,2.65,61.75,1004.25,66.57,0.979,0.58,baixo
OM-0066,Costa Nordeste,-0.5618,-31.8531,6,28.99,0.22,21.83,3.68,57.99,1010.15,54.13,0.462,1.115,moderado
OM-0067,Costa Nordeste,-0.9502,-41.6158,11,29.42,-1.5,20.71,1.29,76.42,1010.44,26.87,0.7,0.34,baixo
OM-0068,Atlântico Norte,21.4308,-31.687,6,29.28,3.25,11.17,2.25,76.65,1007.02,91.08,0.406,0.48,critico
OM-0069,Costa Nordeste,-9.4558,-44.4418,8,31.05,1.04,17.75,2.9,90.67,1002.91,34.41,0.792,0.519,alto
OM-0070,Pacífico Sul,-37.0294,-125.9588,7,25.9,0.33,25.2,3.25,76.83,1016.08,78.73,0.794,0.906,baixo
OM-0071,Atlântico Sul,-22.0372,-42.6624,2,30.72,1.37,9.07,0.87,84.56,1010.44,100,0.915,0.624,critico
OM-0072,Atlântico Norte,16.2147,-57.0429,4,28.88,1.05,44.91,3.27,79.24,1006.91,61.02,1.173,0.583,alto
OM-0073,Atlântico Sul,-22.8352,-3.752,10,26.47,3.14,15.08,2.73,58.84,1005.79,55.84,1.16,0.05,critico
OM-0074,Atlântico Sul,-15.4551,4.0689,11,25.64,0.47,33.99,3.09,63.59,1013.91,8.25,0.91,0.696,moderado
OM-0075,Atlântico Norte,14.45,-62.4285,10,25.79,-0.24,33.56,2.57,62.93,1010.97,81.26,1.163,0.797,baixo
OM-0076,Atlântico Norte,31.6252,-57.0986,8,25.35,-0.0,8.99,2.63,72.68,1017.85,54.22,1.791,0.472,baixo
OM-0077,Atlântico Sul,-13.3646,-48.94,2,28.56,0.82,36.82,2.71,71.05,996.73,95.62,0.219,0.093,alto
OM-0078,Atlântico Sul,-10.632,-15.9733,6,29.74,2.92,36.1,2.93,71.37,999.2,64.59,1.433,0.307,critico
OM-0079,Atlântico Norte,28.4072,-31.4381,1,23.64,-0.23,29.16,2.58,77.76,987.85,47.47,1.004,0.806,moderado
OM-0080,Atlântico Sul,-27.1625,-13.8438,1,26.24,1.2,20.0,2.69,72.66,1013.97,88.36,0.751,0.693,moderado
OM-0081,Atlântico Norte,11.4929,-65.1051,8,26.67,-0.28,18.72,3.33,84.0,1016.01,49.6,1.389,0.247,baixo
OM-0082,Atlântico Sul,-25.5896,8.989,1,26.02,0.64,28.91,3.09,75.41,1007.38,58.6,0.628,0.32,moderado
OM-0083,Atlântico Norte,26.7617,-29.9171,6,27.75,2.41,46.74,2.98,64.4,994.79,58.54,0.687,0.637,critico
OM-0084,Pacífico Equatorial,-3.2813,-93.1431,8,31.73,1.02,25.63,3.62,66.08,1004.75,51.6,1.261,0.555,critico
OM-0085,Atlântico Norte,28.9967,-38.1637,4,27.12,0.13,30.12,1.43,76.48,1012.26,66.73,1.33,0.545,baixo
OM-0086,Costa Nordeste,1.4155,-35.5808,8,30.46,-0.92,30.7,1.93,66.76,999.77,71.66,0.377,0.601,baixo
OM-0087,Índico Oeste,-6.0584,71.8532,10,31.14,0.97,21.64,2.63,77.96,1003.68,89.03,0.324,0.359,alto
OM-0088,Índico Oeste,-7.5901,78.1693,12,31.44,0.0,16.91,1.68,70.35,1010.25,65.07,0.871,0.719,moderado
OM-0089,Pacífico Sul,-37.4701,-111.8486,1,25.02,1.57,20.88,2.63,70.31,1011.0,45.01,1.185,0.221,moderado
OM-0090,Pacífico Sul,-29.9605,-140.3278,9,23.53,-0.06,9.76,0.69,82.3,1004.87,46.55,0.69,0.1,baixo
OM-0091,Pacífico Sul,-20.1359,-158.3944,12,28.36,0.31,27.66,1.33,66.96,992.41,53.91,0.23,0.161,moderado
OM-0092,Índico Oeste,-9.7453,40.7292,5,32.39,1.17,18.36,2.56,78.6,1009.66,67.13,0.787,0.64,alto
OM-0093,Atlântico Norte,11.1324,-49.7941,10,27.59,3.41,34.62,2.28,81.43,1008.32,42.84,1.528,0.585,critico
OM-0094,Pacífico Equatorial,2.5239,-102.972,4,31.19,0.44,4.68,2.2,59.64,1026.54,80.06,0.809,0.511,alto
OM-0095,Atlântico Norte,22.5598,-60.2765,4,29.41,0.13,9.54,0.9,71.62,1008.89,80.61,0.173,0.402,moderado
OM-0096,Pacífico Equatorial,-0.5068,-119.1988,7,33.21,1.68,44.32,2.31,67.35,1006.61,46.54,1.283,0.721,critico
OM-0097,Pacífico Equatorial,4.3083,-99.6494,11,29.62,3.32,13.38,3.14,76.62,993.24,33.96,0.622,0.78,critico
OM-0098,Costa Nordeste,-3.4143,-34.0915,9,28.12,1.32,31.29,3.28,67.03,995.03,99.01,1.251,0.304,alto
OM-0099,Pacífico Sul,-24.5387,-148.2256,3,29.02,0.65,18.13,2.19,70.01,998.44,23.21,1.639,0.137,moderado
OM-0100,Atlântico Norte,26.6246,-46.5728,8,25.54,0.84,24.36,1.95,82.77,1009.42,55.11,0.745,0.182,baixo
OM-0101,Costa Nordeste,-9.468,-36.8098,11,30.91,1.99,23.23,1.93,77.36,1001.52,68.57,0.603,0.526,critico
OM-0102,Costa Nordeste,0.6295,-40.2661,5,28.45,0.34,22.67,3.6,79.4,1015.81,66.76,0.054,0.567,moderado
OM-0103,Pacífico Equatorial,-0.6305,-125.9987,8,31.34,0.05,10.43,2.03,86.76,1005.34,69.43,0.195,0.85,moderado
OM-0104,Costa Nordeste,-3.4543,-40.1818,2,31.13,1.26,24.58,2.3,65.78,1009.17,52.89,0.08,0.365,alto
OM-0105,Pacífico Sul,-10.5992,-84.6886,2,28.02,-0.21,21.37,1.85,95.06,1012.61,48.11,0.414,0.671,baixo
OM-0106,Pacífico Sul,-29.0101,-135.5431,10,24.48,0.7,16.65,2.9,80.82,1010.37,47.13,1.142,0.481,moderado
OM-0107,Atlântico Sul,-15.2865,-22.5621,7,28.51,0.37,21.12,1.93,64.26,999.14,70.81,0.842,0.611,moderado
OM-0108,Costa Nordeste,0.7841,-38.3233,2,32.77,-1.5,9.74,0.65,68.12,1011.24,45.24,1.023,0.385,baixo
OM-0109,Costa Nordeste,-0.4756,-37.3687,2,33.72,0.45,13.9,2.23,65.91,1004.58,68.23,0.832,0.631,alto
OM-0110,Índico Oeste,4.9879,68.7548,9,28.92,1.09,31.44,3.3,86.0,1009.63,50.8,0.908,0.766,moderado
OM-0111,Atlântico Norte,15.4589,-12.0241,7,25.58,0.57,15.24,2.21,88.27,1026.47,68.71,1.828,0.358,moderado
OM-0112,Atlântico Sul,-24.9879,-13.7213,9,26.7,1.85,39.45,3.84,64.95,995.92,76.76,1.514,0.827,critico
OM-0113,Atlântico Norte,11.2358,-18.1731,2,30.25,0.96,14.96,1.4,63.64,1014.26,27.5,0.923,0.365,alto
OM-0114,Índico Oeste,-17.6537,72.294,7,27.86,2.55,22.93,3.04,69.21,998.62,58.51,0.468,1.038,alto
OM-0115,Costa Nordeste,-0.872,-37.2753,2,31.03,1.52,26.6,3.15,73.54,1013.56,49.65,0.781,0.705,alto
OM-0116,Pacífico Equatorial,4.3375,-106.7323,4,32.32,-0.45,12.05,1.94,99.85,1014.25,0.81,0.764,0.597,moderado
OM-0117,Atlântico Sul,-24.3729,-16.1613,11,26.5,1.1,30.52,3.26,69.24,1012.06,66.62,0.968,0.393,moderado
OM-0118,Pacífico Equatorial,-4.2647,-119.7447,9,29.29,3.26,51.72,5.28,62.01,1007.63,39.71,1.993,0.719,critico
OM-0119,Atlântico Norte,22.0416,-67.5847,1,28.7,1.21,12.49,2.62,67.13,1006.92,49.99,0.79,0.99,moderado
OM-0120,Pacífico Equatorial,0.9372,-119.5611,9,28.11,0.31,26.79,1.93,63.12,985.02,21.76,0.479,0.488,baixo
OM-0121,Atlântico Sul,-18.0618,-37.7405,11,27.39,-0.92,16.86,1.04,82.74,1022.45,22.9,0.276,0.728,baixo
OM-0122,Atlântico Sul,-18.5486,-9.4661,4,30.23,2.66,15.37,3.45,93.83,995.62,69.01,0.976,0.733,critico
OM-0123,Pacífico Equatorial,4.9812,-121.2977,7,30.71,1.11,20.21,3.1,78.2,992.5,40.16,0.451,0.479,alto
OM-0124,Costa Nordeste,-6.6519,-40.5225,5,32.29,-0.79,8.21,1.79,54.32,1004.56,46.76,0.476,0.259,baixo
OM-0125,Índico Oeste,-0.4487,78.1844,3,31.79,1.32,19.8,3.22,75.54,1016.67,69.72,1.433,0.963,critico
OM-0126,Costa Nordeste,-8.6893,-33.8866,4,32.28,1.94,25.69,2.74,62.4,1011.68,92.59,1.438,0.903,critico
OM-0127,Costa Nordeste,-5.1171,-30.9745,8,29.61,0.68,17.82,3.29,79.63,1005.83,35.35,0.66,0.516,moderado
OM-0128,Costa Nordeste,-4.9854,-32.4359,1,32.21,0.58,47.34,2.5,94.29,995.48,89.93,0.9,1.133,critico
OM-0129,Pacífico Equatorial,-0.4565,-111.5213,9,27.13,0.68,17.63,2.47,80.52,1011.48,43.4,0.961,0.733,moderado
OM-0130,Pacífico Equatorial,0.6778,-104.563,3,30.73,-0.22,13.32,2.3,72.36,1012.8,79.86,0.748,0.592,moderado
OM-0131,Índico Oeste,-17.9344,70.1503,6,27.98,3.88,32.38,3.36,82.31,1004.59,51.33,1.53,0.926,critico
OM-0132,Pacífico Equatorial,1.9029,-111.6773,5,31.47,1.07,14.3,2.48,85.65,1007.11,47.68,0.085,0.595,alto
OM-0133,Costa Nordeste,-0.8577,-34.7949,10,30.15,0.33,21.85,2.14,72.72,1006.79,32.3,0.7,0.429,moderado
OM-0134,Pacífico Equatorial,3.5449,-123.4896,11,30.4,3.46,36.34,2.89,64.99,998.81,91.5,1.373,0.735,critico
OM-0135,Índico Oeste,-17.3663,40.1206,4,28.88,0.47,52.93,4.2,79.47,1001.76,63.91,0.815,0.301,alto
OM-0136,Pacífico Sul,-10.65,-111.8707,7,26.22,1.95,36.28,2.88,98.59,1013.89,75.86,0.882,0.674,alto
OM-0137,Atlântico Norte,21.7918,-62.3592,4,30.22,-0.7,4.39,1.91,67.32,1016.78,55.4,1.241,0.636,baixo
OM-0138,Pacífico Sul,-17.0353,-167.1004,11,25.17,1.35,32.8,3.02,78.11,1005.78,34.07,0.602,0.993,alto
OM-0139,Índico Oeste,-11.8311,61.5904,1,30.42,2.8,41.74,3.13,60.79,992.89,72.06,0.869,1.126,critico
OM-0140,Atlântico Norte,16.6313,-51.9699,1,26.49,0.18,29.37,3.52,73.09,1006.28,39.02,1.298,0.403,moderado
OM-0141,Pacífico Sul,-27.5103,-156.5704,7,25.6,1.62,29.92,4.33,82.87,1012.17,85.15,1.141,0.4,alto
OM-0142,Índico Oeste,-17.7142,48.1335,11,28.11,1.07,6.87,1.87,85.23,1011.62,57.12,0.859,0.949,moderado
OM-0143,Atlântico Norte,31.7292,-36.469,8,25.07,2.5,35.29,3.07,82.05,1015.48,66.57,0.429,0.935,critico
OM-0144,Pacífico Sul,-33.8646,-87.6386,9,23.53,1.26,20.68,2.12,62.84,1020.76,20.73,1.104,0.483,moderado
OM-0145,Pacífico Equatorial,4.1433,-127.7577,7,33.3,1.11,37.96,3.15,62.22,996.85,54.7,1.187,0.648,critico
OM-0146,Costa Nordeste,-4.0084,-35.1809,11,28.9,1.9,24.99,1.76,60.24,1008.01,54.41,1.204,0.385,alto
OM-0147,Atlântico Norte,39.7097,-12.5658,9,26.23,0.97,16.55,1.38,59.61,1016.63,61.83,1.539,0.815,moderado
OM-0148,Pacífico Equatorial,-4.3955,-111.7363,10,31.3,1.66,25.41,2.91,73.85,993.9,56.77,1.459,0.51,critico
OM-0149,Costa Nordeste,-8.7158,-43.5553,3,32.13,1.85,16.69,3.63,98.25,1016.65,51.25,1.098,0.563,critico
OM-0150,Atlântico Sul,-16.9253,0.7842,1,28.98,1.09,26.55,2.76,81.58,1015.17,26.32,1.213,0.136,moderado
OM-0151,Atlântico Sul,-12.1042,4.7449,4,29.78,2.36,26.02,3.07,96.35,1012.62,91.73,0.778,1.166,critico
OM-0152,Pacífico Equatorial,-4.8434,-137.5705,3,32.07,-0.82,24.81,2.4,77.14,1026.97,17.34,1.347,0.364,moderado
OM-0153,Costa Nordeste,-0.514,-34.6603,2,28.35,2.2,33.42,2.66,78.97,980.34,35.44,1.481,0.779,critico
OM-0154,Índico Oeste,-10.2819,54.2324,7,26.35,1.16,37.41,3.56,80.7,990.48,72.84,1.054,0.543,alto
OM-0155,Pacífico Sul,-28.3113,-137.537,2,26.63,0.63,23.22,2.89,80.18,1016.34,38.32,0.737,0.825,moderado
OM-0156,Atlântico Sul,-18.0615,-4.0115,7,29.24,0.67,22.0,1.61,83.45,1007.05,27.05,0.8,0.626,moderado
OM-0157,Pacífico Equatorial,-0.0688,-146.204,7,30.84,1.35,10.6,3.63,73.87,997.35,43.39,0.666,0.651,critico
OM-0158,Índico Oeste,-15.0335,64.8077,6,27.42,0.95,17.03,1.66,71.76,1019.17,51.1,0.484,0.644,moderado
OM-0159,Pacífico Equatorial,-2.0855,-108.3025,8,32.45,0.28,19.53,3.54,60.66,1024.16,78.68,2.141,0.809,critico
OM-0160,Atlântico Sul,-10.9399,-24.9946,12,27.94,2.16,46.07,4.13,80.18,987.85,77.64,1.32,0.654,critico
OM-0161,Índico Oeste,-1.3277,42.9586,10,28.6,0.72,37.62,2.44,58.97,1000.61,27.02,1.543,0.225,moderado
OM-0162,Atlântico Sul,-27.8126,-38.865,11,22.9,4.0,29.56,2.91,76.44,976.19,69.58,1.305,0.579,critico
OM-0163,Atlântico Norte,26.7398,-28.7401,4,25.07,0.9,14.7,1.91,74.75,1009.66,77.88,1.161,0.666,moderado
OM-0164,Pacífico Sul,-35.7497,-141.9299,8,24.71,-0.47,33.68,3.19,72.44,1008.87,87.29,0.975,0.836,baixo
OM-0165,Atlântico Sul,-16.4572,-44.317,12,27.43,2.94,37.84,3.39,70.72,1003.67,52.51,0.824,0.958,critico
OM-0166,Costa Nordeste,-4.6051,-38.5567,1,30.77,0.01,23.34,2.14,92.27,1019.36,66.43,1.129,0.369,moderado
OM-0167,Índico Oeste,-9.1685,65.5643,10,28.88,2.67,24.07,3.17,67.71,988.71,91.47,0.859,0.507,critico
OM-0168,Costa Nordeste,-6.3354,-42.2543,12,31.15,1.29,16.53,2.16,63.63,1007.87,100,0.506,0.628,critico
OM-0169,Pacífico Equatorial,-3.597,-131.1252,8,28.64,-0.63,13.55,1.97,66.42,1018.93,39.54,0.463,0.156,baixo
OM-0170,Índico Oeste,-10.339,43.3068,1,28.24,1.31,21.73,3.83,60.23,999.92,32.96,0.971,0.464,alto
OM-0171,Atlântico Norte,34.6985,-47.9883,1,25.08,-0.37,6.34,2.31,71.71,1006.21,58.26,0.728,0.525,baixo
OM-0172,Atlântico Sul,-21.2186,9.6072,4,29.69,2.03,36.9,2.52,63.55,1007.85,71.39,0.327,0.687,alto
OM-0173,Atlântico Norte,18.4326,-37.6739,6,29.59,0.5,34.99,2.58,90.88,996.04,84.76,1.361,0.505,alto
OM-0174,Pacífico Equatorial,3.6705,-142.3867,3,32.04,2.02,29.14,1.99,62.9,1004.37,59.84,1.453,0.211,critico
OM-0175,Atlântico Sul,-21.943,-6.2628,12,28.46,0.26,22.46,2.45,78.45,993.65,54.91,0.392,0.452,baixo
OM-0176,Atlântico Sul,-14.0864,-29.1485,7,28.64,-0.34,18.35,3.0,89.34,1022.8,68.16,0.02,0.606,baixo
OM-0177,Pacífico Sul,-16.4833,-128.6376,2,29.24,0.37,33.67,2.72,97.91,1005.67,74.95,0.616,0.946,baixo
OM-0178,Atlântico Sul,-16.9082,-38.7247,6,27.71,1.36,23.55,1.55,72.05,1007.45,73.83,1.119,0.824,alto
OM-0179,Atlântico Norte,30.3995,-69.4428,12,24.06,0.98,21.01,1.8,76.57,1010.75,63.94,0.742,0.398,moderado
OM-0180,Índico Oeste,-1.7962,70.1263,3,30.9,1.34,21.41,2.38,71.89,1011.13,60.6,0.062,0.367,alto
OM-0181,Costa Nordeste,-8.9597,-43.493,2,30.6,0.13,20.22,2.66,75.29,1012.43,28.68,0.637,0.244,moderado
OM-0182,Pacífico Sul,-39.1953,-93.7637,5,26.49,1.78,16.14,3.24,79.75,990.38,65.54,1.408,0.632,critico
OM-0183,Atlântico Sul,-19.4343,8.5503,6,29.18,0.41,14.55,1.94,69.06,995.07,93.19,0.655,0.64,moderado
OM-0184,Pacífico Equatorial,-2.8426,-94.6452,7,29.31,0.55,10.23,2.68,86.78,1014.9,46.98,0.651,0.474,moderado
OM-0185,Costa Nordeste,1.6918,-42.6693,6,30.28,1.41,24.67,2.52,70.87,991.67,65.6,0.856,0.805,critico
OM-0186,Índico Oeste,-6.6311,42.2011,11,29.86,1.11,23.55,2.25,87.64,1003.05,69.84,0.308,0.628,alto
OM-0187,Pacífico Equatorial,2.3294,-142.9166,1,30.35,1.42,24.05,4.64,67.85,997.98,53.45,0.961,0.778,critico
OM-0188,Costa Nordeste,-6.9386,-43.4564,10,29.53,0.2,42.39,2.98,79.06,1005.45,25.2,1.503,0.873,alto
OM-0189,Atlântico Sul,-18.9427,4.4066,12,26.92,0.07,29.79,2.26,81.98,996.99,81.64,1.216,0.731,baixo
OM-0190,Atlântico Norte,39.4424,-12.7552,2,27.32,-0.66,18.44,2.34,66.76,1012.87,42.41,1.477,0.555,baixo
OM-0191,Pacífico Equatorial,0.9169,-120.3984,4,32.03,-0.53,34.0,3.86,88.35,1009.63,33.93,0.336,0.868,moderado
OM-0192,Pacífico Sul,-28.7118,-103.5726,5,27.21,1.27,22.31,2.67,91.77,1005.84,100,1.45,0.825,moderado
OM-0193,Pacífico Sul,-13.1327,-128.7388,12,27.86,2.95,42.41,4.06,52.32,1008.96,66.08,1.464,0.475,critico
OM-0194,Pacífico Sul,-15.043,-140.6374,8,27.33,0.95,27.33,1.81,79.36,1010.47,38.74,1.001,0.05,moderado
OM-0195,Costa Nordeste,-4.577,-38.0498,2,33.44,1.48,22.62,1.8,80.3,1022.96,83.64,1.484,0.786,critico
OM-0196,Atlântico Sul,-16.4563,-38.0892,3,30.24,0.78,24.24,2.06,58.46,1010.65,59.06,0.941,0.897,moderado
OM-0197,Costa Nordeste,-7.6224,-38.9913,11,28.78,-0.35,19.95,3.46,79.62,1010.15,75.05,0.551,0.998,moderado
OM-0198,Pacífico Equatorial,-3.7747,-93.4632,1,31.77,1.62,24.94,2.92,73.49,999.95,65.63,1.246,0.499,critico
OM-0199,Atlântico Sul,-17.7179,-14.8965,11,26.61,1.49,33.99,3.26,80.34,1008.48,83.13,0.655,0.306,alto
OM-0200,Atlântico Sul,-10.2119,-4.1755,6,26.52,0.8,16.33,2.12,75.71,1010.0,55.16,0.84,0.632,baixo
